"Bolagsnamn";"Info";"Info";"Info";"Info";"Info";"Info";"Info";"Kursutveck.";"Direktav.";"P/E";"P/S";"P/B";"Omsättning";"Bruttoresult.";"EBIT";"EBITDA";"Vinst";"FCF";"Antal Aktier";"Tot. Skulder";"Kassa";"Kortf. Skuld."
"";"Land";"Lista";"Sektor";"Bransch";"Ticker";"Instrument";"Rapport";"Utveck.  1 år";"Senaste";"Senaste";"Senaste";"Senaste";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Senaste";"Miljoner";"Miljoner";"Miljoner"
"Filo Mining";"Sverige";"First North";"Material";"Gruv & Metall";"FIL";"Aktier";"Q1-2018";0.1018182;"";-6.298852;"";7.888602;"";-129.2832;-159.6061;-159.6061;-158.2502;39.7853;65.795;51.9009;122.5891;51.9009
"Finepart";"Sverige";"Aktietorget";"Industri";"Byggprodukter";"FINE";"Aktier";"Q1-2018";-0.1762712;"";-3.86082;4.236105;3.876594;6.707;1.773;-7.116;-6.306;-7.359;"";5.846;10.264;2.832;9.42
"Fingerprint Cards";"Sverige";"Large Cap";"Informationsteknik";"Elektronisk utrustning";"FING B";"Aktier";"Q2-2018";-0.7845075;"";-3.545727;0.9920317;1.184483;2136.3;206;-741.3;-507.3;-597.7;17.9;313.967;911.7;737.5;878.2
"Finnair";"Finland";"Large Cap";"Industri";"Tjänster & Leverans";"FIA1S";"Aktier";"Q2-2018";0.07072136;0.03963012;6.933504;0.3455979;0.923272;2806.7;1839.7;191.6;332.5;139.9;224.6;128.136;2052.5;211.9;1262.2
"Firefly";"Sverige";"First North";"Industri";"Tjänster & Leverans";"FIRE";"Aktier";"Q1-2018";0.09907832;0.0293501;20.55414;1.306155;6.176986;219.153;78.127;22.091;22.091;13.927;11.372;6.001;63.89;21.608;41.017
"FirstFarms";"Denmark";"Small Cap";"Dagligvaror";"Livsmedel";"FFARMS";"Aktier";"Q1-2018";-0.1833333;"";80.38058;1.301084;0.7874866;193.464;32.806;18.145;45.793;3.132;-30.735;5.137;314.828;3.049;127.021
"Fiskars";"Finland";"Large Cap";"Sällanköpsvaror";"Konsument";"FSKRS";"Aktier";"Q1-2018";-0.1052388;0.0373057;16.6408;1.3801;1.277387;1145.4;496.9;89.5;127.8;95;94.1;81.905;588.3;10.5;334.6
"FIT Biotech";"Finland";"First North";"Hälsovård";"Bioteknik";"FITBIO";"Aktier";"Q4-2017";-0.9863636;"";-0.01117318;0.06151853;-0.002766279;0.599;0.171;-2.838;-2.546;-3.301;-2.558;61.416;14.392;0.429;0.832
"Fjord1";"Norge";"OB Match";"Industri";"Tjänster & Leverans";"FJORD";"Aktier";"Q1-2018";"";"";9.422074;1.691754;2.239641;2872.759;2408.725;740.093;1001.804;515.817;-53.944;100;3483.472;528.429;1091.783
"Fjordkraft";"Norge";"OB Match";"Kraftförsörjning";"Energiproducenter";"FKRAFT";"Aktier";"Q1-2018";"";"";14.1144;0.7084035;4.916336;4982.859;961.428;317.185;430.113;250.092;-281.393;104.496;2040.805;"";1951.133
"FLEX LNG";"Norge";"OB Match";"Industri";"Tjänster & Leverans";"FLNG";"Aktier";"Q1-2018";0.03056772;"";-45.3149;12.94799;1.03918;335.3132;-46.7188;-98.4694;-79.8271;-95.8253;-1400.204;367.935;2223.649;63.8029;47.4492
"Flexion Mobile";"Sverige";"First North";"Sällanköpsvaror";"Betting & Spel";"FLEXM";"Aktier";"Q4-2017";"";"";-41.64959;21.02979;13.07923;15.9014;5.6327;-8.0318;-7.8348;-8.0318;-4.4157;41.132;10.4077;25.695;10.0137
"Flexqube";"Sverige";"First North";"Industri";"Handel & Distribution";"FLEXQ";"Aktier";"Q1-2018";"";"";-73.62415;6.785781;7.361814;37.331;15.498;-3.233;-2.731;-3.441;-15.604;6.333;20.074;20.292;17.369
"FLSmidth & Co.";"Denmark";"Large Cap";"Industri";"Produktion";"FLS";"Aktier";"Q1-2018";-0.04455934;0.02061324;370.8907;1.079528;2.404575;17864;4537;1091;1746;52;1139;49.69;13291;1311;10334
"Flugger";"Denmark";"Small Cap";"Industri";"Byggprodukter";"FLUG B";"Aktier";"Q4-2018";-0.002638522;0.03968254;32.47088;0.5983507;1.430807;1817.506;1010.626;57.516;119.2;33.492;75.668;2.877;378.74;156.753;362.304
"Fluicell";"Sverige";"First North";"Hälsovård";"Läkemedel";"FLUI";"Aktier";"Q1-2018";"";"";-10.52178;70.3496;2.514627;1.3;-2.774;-8.695;-8.604;-8.692;-6.982;7.484;4.564;5.042;4.564
"FM Mattsson";"Sverige";"Small Cap";"Industri";"Byggprodukter";"FMM B";"Aktier";"Q1-2018";-0.1113924;0.04273504;15.65252;0.8468722;1.882407;1114.5;373.6;78;127.1;60.3;88.2;13.445;519.4;155;288.2
"Follicum";"Sverige";"Aktietorget";"Hälsovård";"Läkemedel";"FOLLI";"Aktier";"Q1-2018";-0.3657957;"";-3.632653;"";4.095962;"";-12.971;-20.69;-20.545;-20.669;-17.393;28.121;3.059;17.295;3.059
"Fondia";"Finland";"First North";"Industri";"Tjänster & Leverans";"FONDIA";"Aktier";"Q4-2017";0.255;0.02788845;32.80188;2.791272;7.425766;17.553;6.201;2.295;2.508;1.494;1.669;3.904;3.747;7.198;3.747
"Formpipe Software";"Sverige";"Small Cap";"Informationsteknik";"Programvara & Internet";"FPIP";"Aktier";"Q2-2018";0.676923;0.02293578;33.56945;2.87033;3.071602;399.684;275.478;49.03;93.941;34.175;78.755;52.625;277.521;73.699;180.971
"Fortnox";"Sverige";"NGM";"Informationsteknik";"IT-Tjänster";"FNOX MTF";"Aktier";"Q1-2018";0.9219654;0.003759398;77.42461;12.35776;39.74454;319.188;270.165;65.882;86.128;50.951;38.3;59.315;198.118;115.931;198.118
"Fortum";"Finland";"Large Cap";"Kraftförsörjning";"Energiproducenter";"FORTUM";"Aktier";"Q1-2018";0.4876033;0.05092593;15.97751;3.761021;1.619302;4944;2422;1251;1738;915;-35;888.367;8899;3878;3384
"Fram Skandinavien";"Sverige";"First North";"Informationsteknik";"IT-Tjänster";"FRAM B";"Aktier";"Q1-2018";"";"";-332.4904;25.26281;9.10314;13.793;7.608;-1.043;-0.988;-1.048;-1.191;2.5;1.993;37.624;1.963
"Fred. Olsen Energy";"Norge";"OB Match";"Energi";"Olja & Gas";"FOE";"Aktier";"Q2-2018";-0.2582217;"";-0.1398081;0.2305925;0.145649;1750.998;185.616;-2434.944;136.116;-2888.01;-43.6169;66.3;6772.896;1548.504;6286.476
"Free2Move";"Sverige";"NGM";"Informationsteknik";"Kommunikation";"F2M MTF";"Aktier";"Q1-2018";-0.8904762;"";-0.7239307;3.659202;0.2236153;1.88;1.86;-8.71;-8.88;-9.503;-12.811;2.991;1.923;6.706;1.923
"Freedesk";"Sverige";"Aktietorget";"Sällanköpsvaror";"Konsument";"FREESK";"Aktier";"Q1-2018";-0.7562842;"";-0.3185259;0.9531673;0.755533;2.439;0.989;-7.283;-7.037;-7.299;"";10.425;0.986;1.566;0.912
"Freetrailer";"Denmark";"First North";"Industri";"Tjänster & Leverans";"FREETR";"Aktier";"Q4-2017";"";"";-26.34593;3.394193;2350.855;12.467;1.201;-1.085;1.018;-1.607;-1.618;9.199;12.296;0.363;11.424
"FRISQ";"Sverige";"First North";"Informationsteknik";"IT-Tjänster";"FRISQ";"Aktier";"Q1-2018";0.07486629;"";-12.0815;322.6129;1.769879;1.012;-18.28;-35.386;-32.319;-27.024;-44.362;16.243;10.776;30.794;10.776
"Frontline";"Norge";"OB Match";"Energi";"Olja & Gas";"FRO";"Aktier";"Q1-2018";-0.1537255;"";-3.071208;1.458933;0.7875019;5023.505;1616.197;-1826.75;-725.7785;-2386.353;-4305.33;169.809;16996.89;918.1036;2056.938
"F-Secure";"Finland";"Mid Cap";"Informationsteknik";"Programvara & Internet";"FSC1V";"Aktier";"Q1-2018";-0.09313723;0.01081081;55.6391;3.501159;8.044387;165.2;159.3;11.8;18.3;10.4;22.6;156.322;97.4;34.6;81.2
"Funcom";"Norge";"OB Match";"Sällanköpsvaror";"Betting & Spel";"FUNCOM";"Aktier";"Q1-2018";0.3326531;"";-73.48087;11.54992;4.721485;117.3508;25.3628;-4.5706;25.3707;-18.4516;-27.0918;69.188;31.4299;135.0746;21.3563
"Future Gaming";"Sverige";"Aktietorget";"Sällanköpsvaror";"Betting & Spel";"FGG";"Aktier";"Q1-2018";0.1777778;"";75.71429;4.958454;2.184234;31.798;10.052;0.452;7.337;2.098;-133.745;594.977;213.431;43.939;79.769
"G4S";"Denmark";"Large Cap";"Industri";"Tjänster & Leverans";"G4S";"Aktier";"Q4-2017";-0.2102689;0.04290137;17.99729;0.5425745;4.996792;64424.44;"";4123.23;4979.15;1942.28;3975.09;1546;37586.41;7423.46;19965.98
"G5 Entertainment";"Sverige";"Mid Cap";"Sällanköpsvaror";"Betting & Spel";"G5EN";"Aktier";"Q1-2018";0.545965;0.005674081;33.89074;3.050543;14.24104;1273.613;630.446;130.019;182.906;114.64;38.518;8.818;224.365;97.736;219.373
"Gabather";"Sverige";"First North";"Hälsovård";"Läkemedel";"GABA";"Aktier";"Q1-2018";-0.6806363;"";-5.878268;32.04105;2.301083;2.26;-6.214;-12.319;-12.248;-12.319;-14.9;5.1532;2.076;31.922;2.076
"Gabriel Holding";"Denmark";"Small Cap";"Industri";"Byggprodukter";"GABR";"Aktier";"Q2-2018";0.03636364;0.01342105;23.52339;1.628695;4.719721;661.45;266.436;60.28;76.102;45.797;7.308;1.89;176.517;23.248;160.945
"Gaming Corps";"Sverige";"First North";"Sällanköpsvaror";"Betting & Spel";"GCOR";"Aktier";"Q1-2018";-0.5391705;"";-1.311475;1.195273;3.255078;20.648;20.389;-18.465;-17.132;-18.826;-36.439;123.4;16.021;1.72;16.021
"Gaming Innovation";"Norge";"OB Match";"Sällanköpsvaror";"Betting & Spel";"GIG";"Aktier";"Q1-2018";-0.01797751;"";149.1468;3.078464;3.662185;1271.419;1054.095;26.3187;162.2451;26.2554;-550.556;895.656;913.2259;103.8967;621.9834
"Gapwaves";"Sverige";"First North";"Informationsteknik";"Kommunikation";"GAPW B";"Aktier";"Q1-2018";0.2030075;"";-8.565769;27.77382;17.60668;10.328;1.954;-33.967;-30.352;-34.248;-37.313;17.928;17.19;8.333;12.39
"GARO";"Sverige";"Mid Cap";"Industri";"Tjänster & Leverans";"GARO";"Aktier";"Q1-2018";-0.2725;0.02290951;20.25522;2.11739;6.360656;824.6;409.6;99.6;112.9;86.2;-8.4999;10;259.6;20.1;215.6
"Gasporox";"Sverige";"First North";"Industri";"Handel & Distribution";"GPX";"Aktier";"Q1-2018";-0.01777776;"";-8.838586;5.264702;4.147947;9.594;7.936;-5.985;-4.161;-5.715;-7.662;4.571;4.238;5.819;4.088
"Gate Ventures";"Denmark";"First North";"Sällanköpsvaror";"Media";"GATE";"Aktier";"Q3-2017";-0.2666667;"";"";"";"";"";"";"";"";"";"";0.001;"";"";""
"GC Rieber Shipping";"Norge";"OB Standard";"Industri";"Tjänster & Leverans";"RISH";"Aktier";"Q1-2018";-0.2991453;"";-1.892628;1.211799;0.3202948;295.452;16.11;-140.69;3.616;-189.173;3.103;43.662;1159.071;129.716;46.31
"Generic Sweden";"Sverige";"First North";"Informationsteknik";"Kommunikation";"GENI";"Aktier";"Q1-2018";0.1089108;0.1785714;-10.63224;1.648708;1.960782;41.751;18.383;5.647;6.462;-6.475;10.365;12.292;16.292;21.868;10.26
"Genesis IT";"Sverige";"Aktietorget";"Informationsteknik";"IT-Tjänster";"GENE";"Aktier";"Q1-2018";-0.5680751;"";11.09931;2.382709;2.183408;96.133;45.583;26.107;32.627;20.638;28.392;9.959;16.612;57.706;15.134
"Genmab";"Denmark";"Large Cap";"Hälsovård";"Bioteknik";"GEN";"Aktier";"Q1-2018";-0.2173157;"";53.32809;24.53122;10.51842;2795.671;2506.204;1622.146;1622.146;1286.026;337.99;60.934;263.012;956.775;259.295
"Genovis";"Sverige";"First North";"Hälsovård";"Läkemedel";"GENO";"Aktier";"Q1-2018";0.4866667;"";-41.10599;10.48019;16.01425;25.659;24.078;-6.339;-3.707;-6.546;-10.262;60.294;13.781;1.672;6.404
"Gentian Diagnostics";"Norge";"Merkur Market";"Hälsovård";"Sjukvård";"GENT-ME";"Aktier";"Q4-2017";0.23;"";-56.74479;24.6007;4.380985;34.989;27.726;-16.202;-13.186;-15.17;-25.564;13.996;8.754;145.003;8.288
"Getinge";"Sverige";"Large Cap";"Hälsovård";"Sjukvård";"GETI B";"Aktier";"Q2-2018";-0.3854915;0.01930715;28.36325;1.287402;1.195276;19189;8916;1035;3189;871;837;272.37;22796;939;5668
"GHP Specialty Care";"Sverige";"Small Cap";"Hälsovård";"Sjukvård";"GHP";"Aktier";"Q2-2018";0.2473118;"";22.06582;0.7544364;2.062716;1049.9;867.1;52;77.8;35.9;30.6;68.283;362.8;28.1;183.1
"Glaston";"Finland";"Small Cap";"Industri";"Byggprodukter";"GLA1V";"Aktier";"Q1-2018";0.09456263;0.02159827;24.24084;0.7828392;2.4076;114.1;"";5.8;4.9;3.7;-4.7;192.92;56.2;5.3;44
"Global Gaming 555";"Sverige";"First North";"Sällanköpsvaror";"Betting & Spel";"GLOBAL";"Aktier";"Q1-2018";"";0.05072464;8.842752;1.818172;4.061889;602.3;349.5;139.9;140.3;124.1;178;39.677;74.9;219.4;74
"Glunz & Jensen";"Denmark";"Small Cap";"Informationsteknik";"Elektronisk utrustning";"GJ";"Aktier";"Q4-2018";0.527495;"";12.55167;0.5658602;1.350135;220.019;62.781;18.177;26.807;9.919;14.117;1.66;186.637;4.829;105.596
"Glycorex Transplantation";"Sverige";"NGM";"Hälsovård";"Läkemedel";"GTAB B";"Aktier";"Q1-2018";0.03214291;"";-13.68371;5.247653;4.043058;36.628;"";-14.054;2.282;-14.053;-1.85;66.509;9.202;6.785;8.975
"GN Store Nord";"Denmark";"Large Cap";"Informationsteknik";"Elektronisk utrustning";"GN";"Aktier";"Q1-2018";0.526289;0.004180602;36.22583;4.224091;9.396826;9648;6054;1588;2238;1125;1116;136.21;6948;417;2169
"Gofore";"Finland";"First North";"Informationsteknik";"IT-Tjänster";"GOFORE";"Aktier";"Q4-2017";"";0.01677852;34.96285;3.37912;6.501636;34.256;30.104;5.359;5.817;3.312;-4.53;12.948;11.482;12.657;6.671
"Gold Town Games";"Sverige";"NGM";"Sällanköpsvaror";"Betting & Spel";"GTG MTF";"Aktier";"Q1-2018";0.748879;"";-7.779773;3.709895;3.32105;12.35;-3.564;-5.86;-4.414;-5.89;-12.961;11.748;2.661;1.172;1.661
"GoldBlue";"Sverige";"NGM";"Sällanköpsvaror";"Betting & Spel";"GOLDB MTF";"Aktier";"Q4-2017";"";"";-4.293322;0.8398983;1.724697;72.099;15.206;-14.107;-13.335;-14.107;-23.656;31.295;29.315;21.354;29.315
"Golden Energy Offshore";"Norge";"Merkur Market";"Energi";"Olja & Gas";"GEOS-ME";"Aktier";"Q4-2017";"";"";"";"";"";"";"";"";"";"";"";0.001;"";"";""
"Golden Ocean";"Norge";"OBX";"Industri";"Tjänster & Leverans";"GOGL";"Aktier";"Q1-2018";0.20568;0.02226981;31.51856;1.94395;0.6630545;4141.416;3171.763;644.923;1301.439;255.4321;394.7191;114.928;12372.71;2331.312;3042.256
"GomSpace";"Sverige";"First North";"Informationsteknik";"Elektronisk utrustning";"GOMX";"Aktier";"Q1-2018";-0.2056452;"";-22.93578;11.4607;4.456844;115.146;31.298;-72.446;-61.359;-57.537;-87.284;26.795;118.245;171.687;89.379
"Goodtech";"Norge";"OB Match";"Informationsteknik";"IT-Tjänster";"GOD";"Aktier";"Q1-2018";-0.1783708;"";-8.655127;0.1996107;0.4524755;670.428;342.061;-8.491;2.721;-15.463;-37.416;22.876;188.035;0.774;171.29
"Google";"USA";"NYSE & Nasdaq
";"Informationsteknik";"IT-Tjänster";"GOOGL";"Aktier";"Q1-2018";0.2141568;"";49.1081;6.968028;5.080107;117251;67996;26579;33977;16637;2789;690;46110;102885;25394
"Greater Than";"Sverige";"First North";"Informationsteknik";"Programvara & Internet";"GREAT";"Aktier";"Q1-2018";0.5731707;"";-15.27983;17.47778;11.20727;13.932;10.152;-15.551;-12.475;-15.937;-17.48;9.438;13.754;16.971;6.45
"Green Landscaping";"Sverige";"First North";"Industri";"Tjänster & Leverans";"GREEN";"Aktier";"Q1-2018";"";"";-32.19992;1.018723;6.913848;905.811;473.993;-2.964;51.778;-28.661;-81.365;35.498;439.278;87.954;300.7
"GreenMobility";"Denmark";"First North";"Industri";"Tjänster & Leverans";"GREENM";"Aktier";"Q1-2018";-0.1216216;"";-7.451095;11.41457;9.060409;18.974;-6.285;-30.329;-22.97;-29.067;-19.112;1.666;48.348;24.647;12.384
"Grieg Seafood";"Norge";"OBX";"Dagligvaror";"Livsmedel";"GSF";"Aktier";"Q1-2018";0.2848485;0.0235849;11.09338;1.312506;2.694951;7133.636;2719.755;934.281;1146.14;844.02;-58.382;110.412;4037.333;225.169;1520.85
"Gränges";"Sverige";"Mid Cap";"Industri";"Produktion";"GRNG";"Aktier";"Q2-2018";0.3134328;0.02727273;12.14383;0.6935805;2.26639;11976;4080;909;1246;684;507;75.512;5335;636;2780
"Guideline Geo";"Sverige";"NGM";"Informationsteknik";"Elektronisk utrustning";"GGEO";"Aktier";"Q1-2018";-0.5181818;0;-3.732394;0.4740706;0.3775951;100.685;60.98;-15.612;-8.617;-12.789;-10.453;7.505;50.469;17.777;36.071
"Gullberg & Jansson";"Sverige";"Aktietorget";"Industri";"Byggprodukter";"GJAB";"Aktier";"Q1-2018";-0.3523809;"";-3090.909;0.344739;1.006227;84.66;26.157;0.699;1.625;-0.0099;6.1;8.584;23.794;1.523;16.111
"Gunnebo";"Sverige";"Mid Cap";"Industri";"Tjänster & Leverans";"GUNN";"Aktier";"Q1-2018";-0.3543124;0.0433213;-4.067966;0.3884205;1.674852;5964;1650;271;387;124;-44;76.366;3784;488;1764
"GWS Production";"Sverige";"First North";"Informationsteknik";"Elektronisk utrustning";"GWS";"Aktier";"Q1-2018";-0.4109015;"";-3.355224;2.08749;2.07844;19.52;"";-13.044;-8.944;-12.146;-12.411;14.501;9.239;10.151;3
"Gyldendal";"Norge";"OB Standard";"Sällanköpsvaror";"Media";"GYL";"Aktier";"Q4-2017";0.3944223;0.02;12.70003;0.4810606;1.174373;1848;"";99;165;70;11;2.54;736;354;522
"Gyldendal B";"Denmark";"Small Cap";"Sällanköpsvaror";"Media";"GYLD B";"Aktier";"Q4-2017";-0.1;0.01244444;20.41076;0.7731331;1.887384;1478.4;"";79.2;132;56;8.8;2.54;588.8;283.2;417.6
"Götenehus Group";"Sverige";"First North";"Industri";"Byggnation";"GHUS B";"Aktier";"Q1-2018";-0.276033;0.03424658;6.438336;0.3468801;1.673678;1102.5;191.6;80.3;80.3;59.4;34.5;87.314;499.7;144.8;320.9
"H&D Wireless";"Sverige";"First North";"Informationsteknik";"IT-Tjänster";"HDW B";"Aktier";"Q4-2017";"";"";-8.356546;216.6338;2.189392;0.302;-2.128;-7.792;-7.751;-7.83;-8.309;15.577;6.554;10.992;6.554
"Haldex";"Sverige";"Mid Cap";"Industri";"Produktion";"HLDX";"Aktier";"Q2-2018";-0.1504504;0.00583245;27.06814;0.8768274;2.636583;4754;1253;274;405;154;-199;44.204;2188;216;1213
"Hamlet Pharma";"Sverige";"Aktietorget";"Hälsovård";"Läkemedel";"HAMLET";"Aktier";"Q3-2018";0.8617886;"";-22.777;"";19.24083;"";-13.942;-15.393;-15.357;-15.396;-15.131;30.624;3.383;20.364;3.383
"Handicare";"Sverige";"Mid Cap";"Hälsovård";"Sjukvård";"HANDI";"Aktier";"Q1-2018";"";0.01138952;-131.7923;0.920164;1.487794;2811.914;1503.166;132.756;216.394;-19.633;-1.158;58.939;1715.912;120.156;488.002
"Hansa Medical";"Sverige";"Mid Cap";"Hälsovård";"Bioteknik";"HMED";"Aktier";"Q1-2018";0.1883598;"";-44.35404;2676.124;15.66838;2.972;2.762;-177.878;-177.878;-178.164;-536.569;37.878;55.628;575.049;49.032
"Hanza";"Sverige";"First North";"Industri";"Produktion";"HANZA";"Aktier";"Q1-2018";0.2792792;"";15.77953;0.2321919;0.8885863;1488.3;609.4;45.7;91.1;21.9;-103.3;24.336;759;39.8;495.3
"Happy Helper";"Denmark";"First North";"Industri";"Tjänster & Leverans";"HAPPY";"Aktier";"Q4-2017";"";"";"";"";"";"";"";"";"";"";"";0.001;"";"";""
"Harboes Bryggeri";"Denmark";"Small Cap";"Dagligvaror";"Livsmedel";"HARB B";"Aktier";"Q4-2018";-0.2946058;0.01176471;1517.857;0.290061;0.5167879;1337.736;260.808;10.138;105.098;0.256;-40.013;4.565;553.401;15.603;335.829
"Harvia";"Finland";"Small Cap";"Industri";"Byggprodukter";"HARVIA";"Aktier";"Q4-2017";"";"";"";"";"";"";"";"";"";"";"";0.001;"";"";""
"Havila Shipping";"Norge";"OB Match";"Industri";"Tjänster & Leverans";"HAVI";"Aktier";"Q1-2018";-0.4944444;"";-0.536114;0.3498618;0.5807828;574.905;172.108;-259.019;75.277;-375.178;-85.16;22.103;4231.5;196.59;173.359
"Havyard Group";"Norge";"OB Match";"Industri";"Tjänster & Leverans";"HYARD";"Aktier";"Q1-2018";-0.1911765;"";-4.701015;0.2389749;0.6933448;1425.835;499.097;-35.772;-8.018;-72.484;-12.338;24.781;1118.917;157.614;931.509
"Hedera";"Sverige";"First North";"Industri";"Bemanning";"HEGR";"Aktier";"Q1-2018";-0.3473684;"";29.37692;0.3006782;6.911177;156.3;34.6;2.7;2.7;1.6;-29.9;3.79;78.1;0.5;39.1
"Heeros";"Finland";"First North";"Informationsteknik";"IT-Tjänster";"HEEROS";"Aktier";"Q4-2017";-0.3418531;"";-10.32581;1.234014;3.587882;7.26;6.154;-0.767;0.195;-0.868;-1.464;4.349;3.202;0.388;2.615
"Heliospectra";"Sverige";"First North";"Industri";"Tjänster & Leverans";"HELIO";"Aktier";"Q1-2018";1.191436;"";-10.34852;7.103065;7.360119;43.006;17.182;-29.458;-25.577;-29.521;-31.365;35.112;18.156;31.272;7.856
"Hemcheck Sweden";"Sverige";"First North";"Hälsovård";"Sjukvård";"HEMC";"Aktier";"Q1-2018";0.4444444;"";-21.91319;45.92801;1.930973;2.278;-1.506;-4.636;-4.501;-4.775;-10.484;10.06;4.171;44.813;2.685
"Hennes & Mauritz";"Sverige";"Large Cap";"Sällanköpsvaror";"kläder & Textil";"HM B";"Aktier";"Q2-2018";-0.3736385;0.07124069;16.36592;1.133644;4.36515;199801;106483;16975;25915;13840;6957;1655;60743;11107;54420
"Herantis Pharma";"Finland";"First North";"Hälsovård";"Läkemedel";"HRTIS";"Aktier";"Q4-2017";0.009463714;"";-14.54545;13.95796;7.695648;2.255;1.402;-3.944;-2.727;-2.164;-2.598;4.918;7.481;5.401;1.459
"Hexagon";"Sverige";"Large Cap";"Informationsteknik";"Elektronisk utrustning";"HEXA B";"Aktier";"Q1-2018";0.2583375;0.01003184;25.60324;5.306287;3.72076;34344.16;21204.46;8197.587;10733.05;7117.869;-3895.8;360.443;41179.67;3341.169;17088.08
"Hexagon Composites";"Norge";"OB Match";"Industri";"Produktion";"HEX";"Aktier";"Q1-2018";-0.03649635;"";51.714;2.933723;3.135189;1499.444;815.591;129.956;205.489;85.071;174.365;166.627;953.072;203.811;378.075
"Hexatronic";"Sverige";"Mid Cap";"Informationsteknik";"Kommunikation";"HTRO";"Aktier";"Q1-2018";0.02583729;0.007462686;21.00807;1.465645;4.496507;1321.673;570.533;103.189;135.703;92.209;-158.245;36.14;637.073;109.172;319.752
"Hexpol";"Sverige";"Large Cap";"Industri";"Produktion";"HPOL B";"Aktier";"Q2-2018";0.03283408;0.02175126;19.05987;2.442813;3.914948;12632;2732;2038;2290;1619;1504;344.201;3878;1022;2554
"HH International";"Denmark";"Small Cap";"Industri";"Byggprodukter";"HH";"Aktier";"Q1-2018";-0.1232877;"";13.94923;0.6139289;2.786076;1679.1;444.3;118.9;204.6;73.9;-889.3;10.738;2085;36;1214
"Hiddn Solutions";"Norge";"OB Match";"Informationsteknik";"IT-Tjänster";"HIDDN";"Aktier";"Q1-2018";-0.2989131;"";-3.910671;7.970222;30.98635;22.273;8.875;-45.869;-45.239;-45.401;-51.741;91.742;32.204;8.806;31.274
"Hifab";"Sverige";"First North";"Industri";"Byggnation";"HIFA B";"Aktier";"Q1-2018";-0.2645503;0.04316547;15.37611;0.3912321;2.124744;432.3;235.2;14.9;15.1;11;2.4;60.838;99.2;28.6;92.8
"HiQ";"Sverige";"Mid Cap";"Informationsteknik";"IT-Tjänster";"HIQ";"Aktier";"Q2-2018";-0.08986781;0.06389157;18.95065;1.580129;3.832459;1814.499;602.895;196.071;210.299;151.297;115.535;55.511;366.385;122.994;339.567
"HKScan";"Finland";"Mid Cap";"Dagligvaror";"Livsmedel";"HKSAV";"Aktier";"Q1-2018";-0.09090908;0.03214286;-2.727981;0.08403269;0.4585085;1798.4;64.1;-52.1;17.8;-55.4;-118.6;53.973;590;7.2;250.9
"HMS Networks";"Sverige";"Mid Cap";"Informationsteknik";"Elektronisk utrustning";"HMS";"Aktier";"Q1-2018";0.4004796;0.01027397;48.36679;5.445855;8.785522;1224.767;749.868;217.928;265.408;139.436;126.071;46.816;698;71;215
"Hofseth BioCare";"Norge";"Oslo Axess";"Dagligvaror";"Livsmedel";"HBC";"Aktier";"Q1-2018";0.538961;"";-8.336265;7.418164;37.10325;74.6;16.583;-62.188;-41.077;-66.395;-56.234;233.5;136.793;23.792;93.898
"Holmen B";"Sverige";"Large Cap";"Material";"Skog";"HOLM B";"Aktier";"Q1-2018";0.07421151;0.03207501;20.14413;1.968064;1.520685;17298;8487;2192;3589;1690;1259;167.992;13200;282;5790
"HomeMaid";"Sverige";"Aktietorget";"Industri";"Tjänster & Leverans";"HOME B";"Aktier";"Q1-2018";-0.4973333;0.0729443;0.6491382;0.3833051;4.853453;358.819;296.111;214.496;218.23;211.878;23.449;18.241;60.289;21.435;55.171
"Honkarakenne";"Finland";"Small Cap";"Industri";"Byggnation";"HONBS";"Aktier";"Q4-2017";0.3220973;"";19.0194;0.3897474;1.901101;43.9;13.7;1.7;3.4;0.9;3.1;4.847;13.2;3.2;10.5
"House of Friends";"Sverige";"First North";"Sällanköpsvaror";"Media";"HOFF";"Aktier";"Q1-2018";0.3821138;"";13.64366;0.4831409;1.079178;97.674;73.147;4.586;6.817;3.459;-3.004;27.759;38.308;2.632;31.588
"Hoylu";"Sverige";"First North";"Informationsteknik";"Elektronisk utrustning";"HOYLU";"Aktier";"Q1-2018";-0.006361348;"";-1.935468;1.526883;1.800059;30.713;20.962;-23.686;-19.42;-24.23;-34.633;12.009;24.335;0.68;22.247
"HRC World";"Denmark";"First North";"Dagligvaror";"Livsmedel";"HRC";"Aktier";"Q4-2017";"";"";"";"";"";"";"";"";"";"";"";0.001;"";"";""
"Hugo Games";"Norge";"Oslo Axess";"Sällanköpsvaror";"Betting & Spel";"HUGO";"Aktier";"Q4-2017";-0.2732394;"";-1.558253;9.92077;0.6406217;4.5586;4.3558;-32.7297;-23.2445;-29.0228;-24.0899;17.529;17.8415;63.2809;17.805
"Huhtamäki";"Finland";"Large Cap";"Industri";"Tjänster & Leverans";"HUH1V";"Aktier";"Q1-2018";-0.1361407;0.02671118;16.38223;1.04753;2.658599;2974.5;500.5;261.5;382.4;190.2;42.1;104.036;1718.4;114.5;756.7
"Humana";"Sverige";"Mid Cap";"Hälsovård";"Sjukvård";"HUM";"Aktier";"Q1-2018";0.005809103;0.00990099;16.18244;0.4911965;1.637988;6556;1435;331;392;199;197;53.14;3170;497;1792
